;meta[language=en]
; id      |key(hex)|key(str)| text
2114670650|00000000||新鮮な空気が必要だ。
2114670651|00000000||手紙だと？
2114670652|00000000||レジス…戦いを避けて彼女を守れということか。
2114670653|00000000||さて、児童養護施設を調べてみるか。
2114670654|00000000||帰れ。俺はウィッチャーだ。その体を調べる必要がある。
2114670662|00000000||衛兵がオリアンナを探していると聞いた。
2114670663|00000000||彼らがこの怪物、まあ彼女が実際に何であれ捕まえたらいいんだがな。
2114670655|00000000||女はここに引き返した。
2114670656|00000000||彼女はレジスを探していたに違いない。だが彼はもう去ってしまった。
2114670657|00000000||あの漁師が何か知っているかもしれない。
2114670658|00000000||足跡はこの家に続いている。
2114670659|00000000||家には人が住んでいるように見える…だが、住人がいる気配がない。周りをさがしたほうがいいな。
2114670660|00000000||興味深いな…レジスは正しかったようだ。
2114670661|00000000||隠れて事の成り行きを見定める必要があるな…
2114670700|00000000||トリスか？！彼女と話さなければ。
2114670705|00000000||私たちのことについて考えていたの。
2114670706|00000000||俺が探しているのは…
2114670707|00000000||私はイェネファーじゃないわ、ゲラルト。でもイェネファーのようになれる。
2114670708|00000000||ねえ、これでどう？
2114670709|00000000||あなたは私が好きじゃないのね．．
2114670710|00000000||あなたは知ることになるでしょう-二言も発せずに痛みで泣き叫ぶことになることに。
2114670711|00000000||私はお前の悪夢だ。
2114670720|00000000||[殺す。]
2114670721|00000000||[助ける。]
2114670722|00000000||これはお前がやったのか？
2114670723|00000000||クソ！
2114670724|00000000||俺を助けろ、見返りはある。
2114670725|00000000||わかった。
2114670726|00000000||いや、やめておこう。
2114670727|00000000||ゲラルト、お願い…
2114670729|00000000||頭がいかれてしまったに違いない…
2114670730|00000000||警告したぞ。風上で放尿すると大惨事になると。
2114670731|00000000||今回は竜巻に腹を立てた。
2114670732|00000000||愚かなことをするなら、奴らはお前を蟻塚に縛り付け、顔に蜂蜜を塗りたくるだろう。赤き騎馬団でさえお前の声が聞こえるほど大声で叫ぶだろう。
2114670733|00000000||おいおい幽霊か？
2114670734|00000000||すまない、友よ…
2114670735|00000000||お前はこのために魂を差し出すのか？
2114670736|00000000||それならおまえは俺の欲しいものは持ってないな。
2114670737|00000000||これはお前がやったのか？
2114670738|00000000||お前はそう言う、それでも私は待ち続ける、そして何も…
2114670739|00000000||クソ！
2114670740|00000000||死にぞこないめ。
2114670755|00000000||リヴィアのゲラルト、ウィッチャーだ。
2114670756|00000000||ただの旅人だ。
2114670757|00000000||リヴィアの吸血鬼だ。
2114670758|00000000||取引しよう。
2114670759|00000000||どうして子供に興味があるんだ？
2114670761|00000000||オリアンナはお前らを殺すだろうな。
2114670762|00000000||お前誰だ？！
2114670763|00000000||俺？ドラウナー、よそ者、変異体…時々自分の名前でわからない。リヴィアの吸血鬼だ。
2114670764|00000000||いかれてんのか、お前アホだろ…
2114670765|00000000||お前がただの旅行者だとして…背中の2本の剣はなんだ？お前がそれを振り回すことができるように見えるんだが。
2114670766|00000000||ウィッチャー？それなら誰かを探し当てる方法ぐらい知ってんだろ？
2114670767|00000000||さて、それでは、我々は話し合う必要がある。
2114670784|00000000||俺は赤毛の女を探している。
2114670769|00000000||そりゃ面白い。俺たちもその女に会うことになっているからな。
2114670770|00000000||どうしてその女を探している？
2114670771|00000000||俺たちのボスは児童養護施設と子供たちについて尋ねてるんだ。
2114670772|00000000||児童養護施設は襲撃され、ほとんど子供たちは生き残っていなかった。
2114670773|00000000||ほとんど-都合のいい言葉だ。誰かが生きているってことだ。そして、オリアンナ自身も生きていることは確かだ。
2114670774|00000000||しかし、その女はここには来ないだろう。だから、ここで問題が。俺たちは少数で、彼女がかつていた場所を見張っているんだ。
2114670783|00000000||おそらくお前は俺たちを手伝うことができ、そしてそれから俺たちのリーダーであるエドワード男爵はお前にまともな報酬を与えるだろう。
2114670775|00000000||子供に興味があるのはどういう理由があるんだ？
2114670776|00000000||お前の知ったことではない。
2114670777|00000000||オリアンナはお前を殺すだろう。彼女は怪物で人間ではない。そして俺だけが助けることができる。もっと情報をよこせ。
2114670778|00000000||俺がすべてを答えられるわけじゃない、それについて俺たちのリーダーと話してくれ。
2114670779|00000000||見たか？俺たちにケチをつけようってのか流れ者のとんちきめ…どこにいるかわからせてやる！クソ野郎が！
2114670781|00000000||取引成立だ。彼はどこにいるんだ？
2114670782|00000000||俺たちは古びた円形劇場の近くにあるシーデ・ルリガットとして知られる湖のほとりに野営地を張っている。
2114670790|00000000||ハハハ、どっかいけ、流れ者！
2114670791|00000000||お前が手伝うことにしたなら-俺たちの野営地は古びた円形劇場の近くのシーデ・ルリガットとして知られている湖のほとりにある。
2114670795|00000000||興味深いな。盗賊の息子に吸血鬼の爪…
2114670796|00000000||何つぶやいてんだ、男爵と話しにいけよ。
2114670800|00000000||答える気になったか？
2114670801|00000000||男爵は喜ばないだろうが…わかった、俺が知っていることを話そう。
2114670802|00000000||数年前、俺たちのリーダーであるエドワード男爵がトゥサンを訪れ、そこで彼は美しい少女に出会った。
2114670803|00000000||そして、小さな男の子が彼らの間に生まれた。
2114670804|00000000||男爵は俺たちと一緒に大陸の遠くまで行き、そこで俺たちはニルフガードの大隊に編成された。
2114670805|00000000||ええと、男爵が彼女をここに残らせたので、男爵がその少女があまり好きだったとは言えない。だが、彼は最近俺たちは再びトゥサンを訪れなければならないと言った。
